title,link
"Путин включил Жогу и Гурова в состав оргкомитета ""Победа""",https://ria.ru/20241014/pobeda-1977978239.html
Путин подписал закон о возможности продления срока полномочий главы СК,https://ria.ru/20241014/putin-1977956740.html
Памфилова назвала избирательную систему максимально устойчивой,https://ria.ru/20241014/pamfilova-1977955390.html
Путин попросил Памфилову дать оценку Единому дню голосования,https://ria.ru/20241014/golosovanie-1977953261.html
Памфилова на встрече с Путиным рассказала о рекордной явке на выборах,https://ria.ru/20241014/pamfilova-1977950769.html
"Для власти любого уровня важна опора на людей, заявил Путин",https://ria.ru/20241014/putin-1977950393.html
Памфилова проинформирует Путина о работе ЦИК,https://ria.ru/20241014/pamfilova-1977940508.html
Путин проведет встречу с Памфиловой,https://ria.ru/20241014/putin-1977935308.html
"""Единая Россия"" набрала 92% голосов на выборах в Алтайском крае",https://ria.ru/20241014/er-1977926862.html
Кухарук обозначил приоритеты новой команде правительства Югры,https://ria.ru/20241014/prioritety-1977900234.html
"""Тысячи украинцев"". На Западе высказались об операции ВСУ в Курской области",https://ria.ru/20241013/merkuris-1977840794.html
На Западе сделали заявление об окончании конфликта на Украине,https://ria.ru/20241013/general-1977823611.html
"""Разрыв увеличивается"". СМИ рассказали, что произошло с Украиной",https://ria.ru/20241013/bloomberg-1977812487.html
"""Новая карта"". На Западе рассказали, чего может Зеленский ждать от России",https://ria.ru/20241013/zelenskiy-1977805185.html
Глава Североморска ушел в отставку,https://ria.ru/20241012/otstavka-1977771973.html
Глава Дагестана пообещал поддержать Керимова,https://ria.ru/20241012/kerimov-1977750644.html
"СМИ рассказали, что Джонсон думает о срыве мирных переговоров по Украине",https://ria.ru/20241012/dzhonson-1977735706.html
"СМИ рассказали об оружии, применяемом ВСУ в зоне СВО",https://ria.ru/20241012/nyt-1977728186.html
"""Продолжают уничтожать"". СМИ рассказали, что произошло с ВСУ в зоне СВО",https://ria.ru/20241012/mwm-1977722671.html
На Западе забили тревогу из-за угрозы Европе после решения Зеленского,https://ria.ru/20241012/ugroza-1977717519.html
В Германии предложили радикальный план по Украине,https://ria.ru/20241012/bundestag-1977714795.html
Кадыров встретился с полпредом в СКФО Чайкой,https://ria.ru/20241012/kadyrov-1977698984.html
Замруководителя Росаккредитации освободили от должности,https://ria.ru/20241011/mishustin-1977691449.html
"Путин проведет рабочую встречу в Кремле, сообщил Песков",https://ria.ru/20241011/putin-1977681498.html
В Госдуму внесли проект о лишении мандата при выходе из партии,https://ria.ru/20241011/mandat-1977629639.html
В Германии сделали заявление о провале ВСУ,https://ria.ru/20241011/vsu-1977621343.html
Переговоры Путина и Пезешкиана завершились,https://ria.ru/20241011/peregovory-1977583298.html
В Ашхабаде проходят переговоры Путина с Пезешкианом,https://ria.ru/20241011/iran-1977563690.html
"""Происходит стремительно"". На Западе сделали заявление о Зеленском",https://ria.ru/20241011/zelenskiy-1977553275.html
"""Заметили в Киеве"". СМИ рассказали о неожиданных изменениях у Зеленского",https://ria.ru/20241011/wp-1977518703.html
Путин в Ашхабаде пообщался с Рахмоном и Мирзиеевым,https://ria.ru/20241011/putin-1977514883.html
"""За десять дней"". Запад раскрыл план победы над Россией",https://ria.ru/20241011/zapad-1977266484.html
"Путин не созванивался с Трампом, заявил Песков",https://ria.ru/20241010/putin-1977445824.html
"Путин включил в состав совета по нацпроектам Дюмина, Патрушева и Савельева",https://ria.ru/20241010/putin-1977440597.html
Владимира Винокурова освободили от обязанностей посла в Гватемале,https://ria.ru/20241010/vinokurov-1977431085.html
"""Надвигающееся поражение"". В Финляндии назвали опасную угрозу в зоне СВО",https://ria.ru/20241010/ugroza-1977414524.html
Совещание Путина с членами Совбеза. Трансляция,https://ria.ru/20241010/putin-1977407099.html
"У Путина запланировано много встреч на саммите БРИКС, заявил Ушаков",https://ria.ru/20241010/ushakov-1977405062.html
Путин предложил Совбезу обсудить развитие уголовно-исправительной системы,https://ria.ru/20241010/putin-1977404624.html
Ушаков назвал участников саммита БРИКС,https://ria.ru/20241010/briks-1977399340.html
"СМИ раскрыли, чего лишится Украина в зоне СВО",https://ria.ru/20241010/hill-1977392034.html
Жога предложил чиновникам проводить отпуск в Донбассе,https://ria.ru/20241010/ural-1977380350.html
"СМИ рассказали, что произошло с элитными отрядами ВСУ на важном направлении",https://ria.ru/20241010/vsu-1977368994.html
"Песков рассказал, зачем на выборах в США оскорбляют Россию",https://ria.ru/20241010/peskov-1977368681.html
"Песков рассказал, как оскорбления США в адрес России скажутся на отношениях",https://ria.ru/20241010/peskov-1977367520.html
Новый состав правительства Югры объявят 14 октября,https://ria.ru/20241010/yugra-1977361364.html
Путин проведет совещание с постоянными членами Совбеза,https://ria.ru/20241010/putin-1977361188.html
Путин планирует вылететь в Ашхабад для участия в форуме,https://ria.ru/20241010/putin-1977360598.html
"""Ситуация отчаянная"". Стало известно, что произошло с ВСУ в Курской области",https://ria.ru/20241010/vsu-1977354472.html
"СМИ рассказали, на что готов пойти Зеленский по Украине",https://ria.ru/20241010/zelenskiy-1977334988.html
Зеленский назвал первый пункт своего плана по Украине,https://ria.ru/20241010/zelenskiy-1977330429.html
